Author,Title,Tags
"Alzate, José Antonio de",Caracteres del indio de la Nueva España y otros escritos,Historia y Novela histórica
"Ancona, Eligio",Los mártires del Anáhuac,Literatura Hispanoamericana|Historia y Novela histórica
"Ancona, Eligio",Los mártires del Anáhuac,Palabras sinfónicas (audiolibros)
"Andersen, H. C.",The little mermaid,Infantil y juvenil
"Andersen, H. C.",The snow Queen,Infantil y juvenil
"Andersen, H. C.",The ugly duckling,Infantil y juvenil
"Andersen, Hans Christian",El patito feo,Literatura Universal
"Andersen, Hans Christian",La Reina de las Nieves,Literatura Universal
"Andréiev, Leonid",El abismo,Literatura Universal
Anónimo,Popol Vuh,Literatura Hispanoamericana|Historia y Novela histórica
Anónimo,Las mil y una noches,Literatura Universal
Anónimo,La vida de Lazarillo de Tormes y de sus fortunas y adversidades,Literatura Universal|Literatura Hispanoamericana
Anónimo,Cantar de Mio Cid,Literatura Universal|Literatura Hispanoamericana
Anónimo,La vida de Lazarillo de Tormes y de sus fortunas y adversidades.,Palabras sinfónicas (audiolibros)
"Ariosto, Ludovico",Orlando furioso Tomo I,Literatura Universal
"Ariosto, Ludovico",Orlando furioso Tomo II,Literatura Universal
Aristófanes,Comedias I,Literatura Universal
Aristófanes,Comedias II,Literatura Universal
Aristófanes,Comedias III,Literatura Universal
Aristophanes,The frogs,Literatura Universal
Aristóteles,Del sentido y lo sensible,Ensayo|Autoayuda
Aristóteles,Acerca del alma,Ensayo
"Arlt, Roberto",El juguete rabioso,Literatura Hispanoamericana
"Arlt, Roberto",El jorobadito y otros cuentos,Literatura Hispanoamericana
"Arlt, Roberto",Los siete locos,Literatura Hispanoamericana
"Asensi, Julia de",Santiago Arabal. Historia de un pobre niño,Literatura Hispanoamericana
ASUME,Curso para maestros nivel 1 superacion humana,Palabras sinfónicas (audiolibros)
"Asunción Silva, José",Poesías,Literatura Hispanoamericana
"Aurelio, Marco",Meditaciones de Marco Aurelio,Autoayuda
"Aurelius, Marcus",Meditations,Autoayuda
"Austen, Jane",Sentido y sensibilidad,Literatura Universal
"Austen, Jane",Orgullo y prejuicio,Literatura Universal
"Austen, Jane",Emma,Literatura Universal
"Austen, Jane",El castillo de Lesley,Literatura Universal
"Austen, Jane",Lady Susan,Literatura Universal
"Austen, Jane",Amor y amistad,Literatura Universal
"Austen, Jane",Pride and Prejudice,Infantil y juvenil
"Austen, Jane",Sense and Sensibility,Literatura Universal
"Austen, Jane",Emma,Literatura Universal
"Austen, Jane",Lady Susan,Literatura Universal
"Austen, Jane",Love and friendship,Literatura Universal
"Austen, Jane",Sentido y sensibilidad,Palabras sinfónicas (audiolibros)
Azorín,Los valores literarios,Literatura Hispanoamericana
"Azuela, Mariano",Sin amor,Literatura Hispanoamericana
"Bacon, Francis",New Atlantis,Literatura Universal
"Balmes, Jaime Luciano",Filosofía fundamental Tomo I,Literatura Hispanoamericana
"Balmes, Jaime Luciano",Filosofía fundamental Tomo II,Literatura Hispanoamericana
"Balmes, Jaime Luciano",Filosofía fundamental Tomo III,Literatura Hispanoamericana
"Balmes, Jaime Luciano",Filosofía fundamental Tomo IV,Literatura Hispanoamericana
"Balzac, Honoré de",Father Goriot,Literatura Universal
"Bannerman, Helen",Astronomía recreativa,Académicos
"Bannerman, Helen",Little Black Sambo,Infantil y juvenil
"Barcia, Roque",Un paseo por París,Literatura Hispanoamericana
"Baroja, Pío",El árbol de la ciencia,Literatura Hispanoamericana|Ensayo
"Baroja, Pío","El amor, el dandysmo y la intriga",Literatura Hispanoamericana
"Baroja, Pío",El aprendiz de conspirador,Literatura Hispanoamericana
"Baroja, Pío",Los caminos del mundo,Literatura Hispanoamericana
"Baroja, Pío",Los caudillos de 1830,Historia y Novela histórica
"Barranco, Mariano",Tres comedias modernas en un acto y en prosa,Literatura Hispanoamericana
"Barrie, J. M.",Peter Pan,Infantil y juvenil
"Barrie, James Matthew",Peter Pan y Wendy,Literatura Universal|Infantil y juvenil
"Baudelaire, Charles",Las flores del mal,Literatura Universal
"Baudelaire, Charles",The flowers of evil,Literatura Universal
"Baum, L. Frank",El mago de Oz,Literatura Universal|Infantil y juvenil
"Bécquer, Gustavo Adolfo",Leyendas,Literatura Universal|Infantil y juvenil
"Beecher Stowe, Harriet",La cabaña del tío Tom,Literatura Universal
"Bello, Andrés",Gramática de la lengua castellana destinada al uso de los americanos,Ensayo
"Bierce, Ambrose",Cuentos de horror,Literatura Universal
"Blanco Asenjo, Ricardo",La calavera denunciadora,Literatura Hispanoamericana
"Blanco-Fombona, Rufino",Cuentos de poeta,Literatura Hispanoamericana
"Blasco Ibáñez, Vicente",El fantasma de las alas de oro,Literatura Hispanoamericana
"Blasco Ibáñez, Vicente",Entre naranjos,Literatura Hispanoamericana
"Blasco Ibáñez, Vicente",Arroz y tartana,Literatura Hispanoamericana
"Blasco Ibáñez, Vicente",La bodega,Literatura Hispanoamericana
"Blasco Ibáñez, Vicente",La catedral,Literatura Hispanoamericana
"Bolivar, Simón",Carta de Jamaica,Ensayo
"Bonaparte, Napoleón",Máximas y pensamientos,Autoayuda
"Brontë, Anne",Agnes Grey,Literatura Universal
"Brontë, Emily",Cumbres Borrascosas,Literatura Universal
"Brontë, Emily",Wuthering Heights,Literatura Universal
"Brooke, L. Leslie",The Story of the Three Little Pigs,Literatura Universal|Infantil y juvenil
"Bulgákov, Mijaíl",Corazón de perro,Literatura Universal
"Bulgákov, Mijaíl",El maestro y Margarita,Literatura Universal
"Bulgákov, Mijaíl",Maleficios,Literatura Universal
"Burnett, Frances Hodgson",El jardín secreto,Literatura Universal
"Burnett, Frances Hodgson",La princesita,Literatura Universal
"Burnett, Frances Hodgson",A Little Princess,Literatura Universal
"Burroughs, Edgar Rice",Tarzán de los monos,Literatura Universal
"Bustamante, Carlos María de",Tres estudios sobre don José María Morelos y Pavón,Historia y Novela histórica
"Caballero, Fernán",El lobo bobo y la zorra astuta,Literatura Universal|Literatura Hispanoamericana|Infantil y juvenil
"Caballero, Fernán",Cuentos adivinanzas y refranes populares,Literatura Hispanoamericana
"Caballero, Fernán",La Mitología contada a los niños,Infantil y juvenil
"Calderón de la Barca, Pedro",La vida es sueño,Literatura Universal|Literatura Hispanoamericana
"Calderón de la Barca, Pedro",A María el Corazón,Literatura Hispanoamericana
"Camarillo, María Enriqueta",El consejo del búho y otros cuentos,Literatura Hispanoamericana
"Campo, Ángel de",Apuntes sobre Perico Vera y otros Cartones de Azul,Historia y Novela histórica
"Campo, Ángel de",Cartones,Literatura Hispanoamericana
"Campos, Rubén M.",Claudio Oronoz,Historia y Novela histórica
"Cané, Miguel",Juvenilia,Literatura Hispanoamericana|Historia y Novela histórica
"Cané, Miguel",A la distancia,Ensayo
"Capetillo, Luisa",Mi opinión,Ensayo
"Carroll, Lewis",Alicia en el país de las maravillas,Literatura Universal|Infantil y juvenil
"Carroll, Lewis",La caza del snark,Infantil y juvenil
"Carroll, Lewis",Through the looking-glass,Infantil y juvenil
"Carroll, Lewis",Alice's Adventures in Wonderland,Infantil y juvenil
"Carroll, Lewis",Alicia en el país de las maravillas,Palabras sinfónicas (audiolibros)
"Casas, Fray Bartolomé de las",Historia de las Indias. Tomo I,Literatura Hispanoamericana|Historia y Novela histórica
"Castera, Pedro",Carmen: memorias de un corazón,Literatura Hispanoamericana
"Castro, Rosalía de",Poesías,Literatura Hispanoamericana
"Catarineu, Ricardo J.",Almas errantes,Literatura Universal
"Cervantes Saavedra, Miguel de",El ingenioso hidalgo don Quijote de la Mancha,Literatura Universal|Literatura Hispanoamericana
"Cervantes Saavedra, Miguel de",El licenciado Vidriera,Literatura Universal|Literatura Hispanoamericana
"Cervantes Saavedra, Miguel de",La galatea,Literatura Hispanoamericana
"Chambers, Robert W.",El Rey de Amarillo,Literatura Universal
"Chateaubriand, François-Rene",Atala,Historia y Novela histórica
"Chateaubriand, François-René de",Ensayo sobre las revoluciones,Ensayo
"Chéjov, Antón",El jardín de los cerezos,Literatura Universal
"Chéjov, Antón",El reino de las mujeres,Literatura Universal
"Chéjov, Antón",Aniuta,Literatura Universal
"Chesterton, G. K.",El hombre que fue jueves,Literatura Universal
"Chopin, Kate",El despertar,Literatura Universal
"Christian Andersen, Hans",La sirenita,Infantil y juvenil
"Cieza de León, Pedro",Crónica del Perú,Historia y Novela histórica
"Collodi, Carlo",Las aventuras de Pinocho,Infantil y juvenil
"Coloma, Luis",Pelusa: cuento infantil,Literatura Universal|Infantil y juvenil
"Comte, Auguste",Discurso sobre el espíritu positivo,Literatura Universal
Confucio,Analectas,Literatura Universal
"Conrad, Joseph",El corazón de las tinieblas,Literatura Universal
"Conrad, Joseph",La aventura,Literatura Universal
"Conrad, Joseph",La flecha de oro,Literatura Universal
"Conrad, Joseph",Heart of Darkness,Literatura Universal
"Couto Castillo, Bernardo",Asfódelos,Literatura Hispanoamericana
"Cruz, sor Juana Inés de la",Poesía,Literatura Hispanoamericana
"Cruz, sor Juana Inés de la","Selección de poemas (Cruz, sor Juana Inés de la)",Literatura Hispanoamericana
"Cruz, sor Juana Inés de la",Respuesta a Sor Filotea de la Cruz,Literatura Hispanoamericana
"Cruz, sor Juana Inés de la",Los empeños de una casa,Literatura Hispanoamericana
"Cuéllar, José Tomás de",Baile y cochino...,Literatura Hispanoamericana
"Curwood, James Oliver","Baree, Son of Kazan",Literatura Universal
"Curwood, James Oliver",The River's end,Literatura Universal
"Da Cunha, Euclides",Los sertones,Historia y Novela histórica
"Da Vinci, Leonardo",El tratado de la pintura,Ensayo
"Darío, Rubén","Selección de cuentos (Darío, Rubén)",Literatura Hispanoamericana
"Darío, Rubén",El palacio del sol,Literatura Hispanoamericana
"Darío, Rubén",Abrojos,Literatura Hispanoamericana
"Darío, Rubén","Selección de cuentos (Darío, Rubén)",Palabras sinfónicas (audiolibros)
"Darwin, Charles",El origen de las especies,Ensayo
"Darwin, Charles",El origen de las especies,Palabras sinfónicas (audiolibros)
"Dávalos, Marcelino",¡Carne de cañón!,Literatura Hispanoamericana
"Defoe, Daniel",Robinson Crusoe,Literatura Universal
"Defoe, Daniel",The Life and Adventures of Robinson Crusoe,Literatura Universal
"Defoe, Daniel",Robinson Crusoe,Palabras sinfónicas (audiolibros)
"Del Valle Inclán, Ramón",Águila de blasón,Literatura Hispanoamericana
"Delgado, Rafael",Los parientes ricos,Literatura Hispanoamericana
"Delgado, Rafael",Angelina,Literatura Hispanoamericana|Historia y Novela histórica
"Delgado, Rafael",Angelina,Palabras sinfónicas (audiolibros)
"Delgado, Rafael",Los parientes ricos,Palabras sinfónicas (audiolibros)
"Descartes, René",Tratado del hombre,Ensayo
"Díaz Covarrubias, Juan",El diablo en México,Historia y Novela histórica
"Díaz Dufoo, Carlos",Cuentos nerviosos,Literatura Hispanoamericana
"Dickens, Charles",Cuento de Navidad,Literatura Universal|Infantil y juvenil|Autoayuda
"Dickens, Charles",Oliver Twist,Literatura Universal|Infantil y juvenil
"Dickens, Charles","Selección de cuentos (Dickens, Charles)",Literatura Universal|Infantil y juvenil
"Dickens, Charles",Grandes esperanzas,Literatura Universal
"Dickens, Charles",Cuento de Navidad,Palabras sinfónicas (audiolibros)
"Dickens, Charles",David Copperfield,Literatura Universal
"Dickens, Charles",El misterio de Edwin Drood,Literatura Universal
"Dickens, Charles",Historia de dos ciudades,Literatura Universal
"Dickens, Charles",A Christmas Carol,Infantil y juvenil
"Dickens, Charles",Great Expectations,Infantil y juvenil
"Dickens, Charles",Oliver Twist,Literatura Universal
"Dickens, Charles",Cuento de Navidad,Palabras sinfónicas (audiolibros)
"Dos Passos, John",Manhattan Transfer,Literatura Universal
"Dostoievski, Fiódor",Los hermanos Karamazov,Literatura Universal
"Dostoyevski, Fiódor",Crimen y castigo,Literatura Universal
"Dostoyevski, Fiódor",Diario de un escritor,Ensayo
"Dostoyevski, Fiódor",El jugador,Literatura Universal
"Dostoyevski, Fiódor",Memorias del subsuelo,Literatura Universal
"Dostoyevski, Fiódor",La patrona,Literatura Universal
"Dostoyevsky, Fyodor",The Brothers Karamazov,Literatura Universal
"Dostoyevsky, Fyodor",Crime and punishment,Literatura Universal
"Dostoyevsky, Fyodor",Notes from the underground,Literatura Universal
"Dostoyevsky, Fyodor",The gambler,Literatura Universal
"Doyle, Arthur Conan",La Guardia Blanca,Literatura Universal
"Doyle, Arthur Conan",Estudio en escarlata,Literatura Universal
"Doyle, Arthur Conan",El signo de los cuatro,Literatura Universal
"Doyle, Arthur Conan",Las aventuras de Sherlock Holmes,Literatura Universal
"Doyle, Arthur Conan",Las memorias de Sherlock Holmes,Literatura Universal
"Doyle, Arthur Conan",El sabueso de los Baskerville,Literatura Universal
"Doyle, Arthur Conan",El regreso de Sherlock Holmes,Literatura Universal
"Doyle, Arthur Conan",Su última reverencia,Literatura Universal
"Doyle, Arthur Conan",El valle del terror,Literatura Universal
"Doyle, Arthur Conan",El archivo de Sherlock Holmes,Literatura Universal
"Doyle, Arthur Conan",La lámpara roja,Literatura Universal
"Doyle, Arthur Conan",The Adventures of Sherlock Holmes,Infantil y juvenil
"Doyle, Arthur Conan",The White Company,Literatura Universal
"Dumas, Alejandro",El hombre de la máscara de hierro,Palabras sinfónicas (audiolibros)
"Dumas, Alexandre",Los tres mosqueteros,Literatura Universal
"Dumas, Alexandre",El hombre de la máscara de hierro,Literatura Universal
"Dumas, Alexandre",El conde de Montecristo,Literatura Universal
"Dumas, Alexandre",El caballero de Harmental,Literatura Universal
"Dumas, Alexandre",El collar de la Reina,Literatura Universal
"Dumas, Alexandre",The Three Musketeers,Literatura Universal|Infantil y juvenil
"Dumas, Alexandre",The Man in the Iron Mask,Literatura Universal
"Dumas, Alexandre",The Count of Monte Cristo,Literatura Universal
"Duncan, Sara Jeannette",The imperialist,Literatura Universal
"Eça de Queiros, José María",El Mandarín,Literatura Universal
"Eça de Queiros, José María",La reliquia,Literatura Universal
"Eça de Queiros, José María",Adán y Eva en el paraíso,Literatura Universal
"Eguren, José María","Poemas (Eguren, José María)",Literatura Hispanoamericana
"Eliot, George",The Mill on the Floss,Literatura Universal
Epicteto,Enquiridión o manual de epicteto,Ensayo
"Espinosa, Agustín",Crimen,Literatura Hispanoamericana
"Espronceda, José de",El estudiante de Salamanca,Literatura Universal
Esquilo,Agamenón,Literatura Universal
Esquilo,Las coéforas,Literatura Universal
Esquilo,Las euménides,Literatura Universal
Esquilo,Prometeo encadenado,Literatura Universal
Esquilo,Los persas,Literatura Universal
Eurípides,Medea,Literatura Universal
"Feijoo, Benito Jerónimo",Teatro crítico universal,Literatura Hispanoamericana|Ensayo
"Fernández Bremón, José",La vista de los ciegos,Literatura Hispanoamericana
"Fernández de Lizardi, José Joaquín",El Periquillo Sarniento,Literatura Universal|Literatura Hispanoamericana
"Fernández de Moratín, Leandro",El sí de las niñas,Literatura Universal|Literatura Hispanoamericana
"Fitzgerald, F. Scott",El gran Gatsby,Literatura Universal
"Fitzgerald, F. Scott",Sobre la escritura,Ensayo
"Fitzgerald, F. Scott",El curioso caso de Benjamin Button,Literatura Universal
"Fitzgerald, F. Scott",El crucero de la Chatarra Rodante,Literatura Universal
"Fitzgerald, F. Scott",The Great Gatsby,Literatura Universal
"Flaubert, Gustave",La educación sentimental,Literatura Universal
"Flores, Manuel María",Poesía,Literatura Hispanoamericana
"Franklin, Benjamin",El camino a la riqueza,Autoayuda
"Frías, Heriberto",Tomochic,Literatura Hispanoamericana|Historia y Novela histórica
Fundación Carlos Slim,Memoria de la Unidad Temporal Covid - 19,Memorias
Fundación Carlos Slim,¿Quién Soy?,Infantil y juvenil
Fundación Carlos Slim,¿Quién Soy?,Infantil y juvenil
Fundación Carlos Slim,Who am I?,Infantil y juvenil
Fundación Carlos Slim,Who am I?,Infantil y juvenil
Fundación Carlos Slim,Guía práctica para el desarrollo de tu hijo,Académicos
"García Lorca, Federico",La casa de Bernarda Alba,Literatura Hispanoamericana
"García Lorca, Federico",Bodas de sangre,Literatura Hispanoamericana
"García Lorca, Federico",La zapatera prodigiosa,Literatura Hispanoamericana
"García Lorca, Federico",El público,Literatura Hispanoamericana
"García Lorca, Federico",Los títeres de cachiporra,Literatura Hispanoamericana
"Garcilaso, Inca",Comentarios reales de los Incas,Palabras sinfónicas (audiolibros)
"Gilman, Charlotte Perkins",Dellas. Un mundo femenino,Literatura Universal
"Gilman, Charlotte Perkins",El tapiz amarillo,Literatura Universal
Goethe,Fausto,Literatura Universal
Goethe,Las penas del joven Werther,Literatura Universal
Goethe,The Sorrows of Young Werther,Literatura Universal
Goethe,Faust: A Tragedy,Literatura Universal
"Gógol, Nikolái",Diario de un loco,Literatura Universal
"Gógol, Nikolái",Nochebuena,Literatura Universal
"Gorostiza, Eduardo de",Contigo pan y cebolla,Literatura Hispanoamericana
"Gracián, Baltasar",El arte de la prudencia,Ensayo|Autoayuda
"Gracián, Baltasar",El héroe,Autoayuda
Grimm (Hermanos),La reina de las abejas,Palabras sinfónicas (audiolibros)
"Guerrero, Teodoro",Al calor del hogar. Impresiones y cantares,Literatura Hispanoamericana
"Güiraldes, Ricardo",Xaimaca,Literatura Hispanoamericana|Historia y Novela histórica
"Guiteras, Pedro José",Historia de la conquista de la Habana,Historia y Novela histórica
"Guiteras, Pedro José",Historia de la conquista de la Habana,Palabras sinfónicas (audiolibros)
"Gutiérrez Nájera, Manuel",Cuentos frágiles,Literatura Hispanoamericana
"Gutiérrez Nájera, Manuel","Selección de poemas (Gutiérrez Nájera, Manuel)",Literatura Hispanoamericana
"Gutiérrez Nájera, Manuel",El arte y el materialismo,Ensayo
"Gutiérrez Nájera, Manuel",Cuentos frágiles,Palabras sinfónicas (audiolibros)
H.P Lovecraft,El horror de Dunwich,Literatura Universal
"Hale, Edward Everett",The man without a country and other tales,Literatura Universal
"Hartwell, E. C.",The teaching of History,Ensayo
"Hawthorne, Nathaniel",La letra escarlata,Literatura Universal
"Hawthorne, Nathaniel",The Scarlet Letter,Literatura Universal
"Hemingway, Ernest",Por quién doblan las campanas,Literatura Universal
"Hemingway, Ernest",El viejo y el mar,Literatura Universal|Ensayo
"Hemingway, Ernest",El viejo y el mar,Literatura Universal|Ensayo
Hermanos Grimm,Selección de cuentos (Hermanos Grimm),Literatura Universal|Infantil y juvenil
Hermanos Grimm,Selección de cuentos (Hermanos Grimm),Literatura Universal|Infantil y juvenil
Hermanos Grimm,El flautista de Hamelín,Literatura Universal|Infantil y juvenil
Hermanos Grimm,Blancanieves,Literatura Universal
Hermanos Grimm,Las tres hilanderas,Palabras sinfónicas (audiolibros)
Hermanos Grimm,Hermano y hermana,Infantil y juvenil
Hermanos Grimm,Juan el fiel,Infantil y juvenil
Hermanos Grimm,Las tres hilanderas,Infantil y juvenil
"Hernández, José",El gaucho Martín Fierro,Literatura Universal|Literatura Hispanoamericana
"Hernández, José",El gaucho Martín Fierro,Palabras sinfónicas (audiolibros)
Heródoto,Los nueve libros de la historia,Literatura Universal|Historia y Novela histórica
Hesiodo,Trabajos y días,Autoayuda
"Hesse, Herman",Siddhartha,Ensayo
Hipócrates,Aforismos y sentencias,Ensayo
"Hoffman, E. T. A.",The sand-man,Literatura Universal
"Hoffman, Heinrich",Struwwelpeter. Merry Stories and Funny Pictures,Académicos
"Hoffman, Heinrich",Struwwelpeter. Merry Stories and Funny Pictures,Académicos|Infantil y juvenil
"Hoffman, Heinrich",Struwwelpeter. Merry Stories and Funny Pictures,Académicos|Infantil y juvenil
"Hoffmann, E. T. A.",El hombre de arena,Literatura Universal
"Hoffmann, E. T. A.",El Cascanueces y el Rey de los Ratones,Infantil y juvenil
Homer,The Odyssey,Literatura Universal
Homer,The Iliad,Literatura Universal
Homero,Odisea,Literatura Universal
Homero,La Ilíada,Literatura Universal
"Howard, Robert E.",Black Canaan,Literatura Universal
"Hoyos y Vinent, Antonio de",El monstruo,Literatura Universal
"Hugo, Victor",Nuestra Señora de París,Literatura Universal|Infantil y juvenil
"Hugo, Victor",Los miserables,Literatura Universal
"Hugo, Victor",El rey se divierte,Literatura Universal
"Hugo, Victor",Pamplona,Literatura Universal
"Hugo, Victor",El exilio,Ensayo
"Hugo, Victor",Notre-Dame de Paris,Literatura Universal
"Huho, Victor",Les Misérables,Literatura Universal
"Humboldt, Alexander von",Cosmos: ensayo de una descripción física del mundo,Ensayo
"Humphreys, Eliza Margaret Jane",Two bad blue eyes,Literatura Universal
"Ibsen, Henrik",Casa de muñecas,Literatura Universal
"Ibsen, Henrik",La dama del mar,Literatura Universal
"Ibsen, Henrik",A Doll's House,Literatura Universal
"Ibsen, Henrik",The lady from the sea,Literatura Universal
"Inclán, Luis G.",Astucia,Literatura Hispanoamericana|Historia y Novela histórica
"Iriarte, Tomás de",Fábulas literarias,Literatura Universal
"Jonson, Ben",The Alchemist,Literatura Universal
"Joyce, James",Ulises,Literatura Universal
"Joyce, James",Dublineses,Literatura Universal
"Joyce, James",Retrato del artista adolescente,Literatura Universal
"Kafka, Franz",La metamorfosis,Literatura Universal
"Kafka, Franz",La condena,Literatura Universal
"Kafka, Franz",Ante la ley,Literatura Universal
"Kafka, Franz",Metamorphosis,Literatura Universal
"Kafka, Franz",La metamorfosis,Palabras sinfónicas (audiolibros)
"Khalil Gibrán, Gibrán",El Profeta,Literatura Universal|Autoayuda
"Kierkegaard, Sören",Diario de un seductor,Literatura Universal
"Kipling, Rudyard",Capitanes intrépidos,Literatura Universal
"Kipling, Rudyard",El libro de la selva,Infantil y juvenil
"Kirby, William",The golden dog,Literatura Universal
"Lawrence, D. H.",El arco iris,Literatura Universal
"Lawrence, D. H.",El zorro,Literatura Universal
"Leroux, Gastón",El fantasma de la ópera,Literatura Universal
"Leroux, Gaston",The Phantom of the Opera,Literatura Universal
"London, Jack",La llamada de la selva,Literatura Universal|Infantil y juvenil
"London, Jack",The call of the wild,Infantil y juvenil
"Lope de Vega, Félix",Fuenteovejuna,Literatura Universal|Literatura Hispanoamericana
"López Velarde, Ramón",El minutero,Literatura Hispanoamericana
"López Velarde, Ramón",La sangre devota,Literatura Hispanoamericana
"López Velarde, Ramón",Zozobra,Literatura Hispanoamericana
"Lovecraft, H.P.","Selección de cuentos (Lovecraft, H.P.)",Literatura Universal
"Lovecraft, H.P.",The call of Cthulhu,Infantil y juvenil
"Lovecraft, H.P.",The Dunwich Horror,Literatura Universal
"Lovecraft, H.P.",El alquimista,Infantil y juvenil
"Lovecraft, H.P.",El caos reptante,Infantil y juvenil
"Lovecraft, H.P.",Misterioso barco a la deriva rescatado en alta mar,Infantil y juvenil
"Lovecraft, H.P.","Selección de cuentos (Lovecraft, H.P.)",Palabras sinfónicas (audiolibros)
"Loyola, Ignacio de",Ejercicios espirituales,Ensayo|Autoayuda
"Lugones, Leopoldo",Las manzanas verdes,Literatura Hispanoamericana
"Machado, Antonio",Juan de Mairena,Literatura Hispanoamericana|Historia y Novela histórica
"Machado, Antonio",Abel Martín,Literatura Universal
"Machiavelli, Nicolò",The Prince,Literatura Universal
"Malory, Thomas",El Rey Arturo y los Caballeros de la Mesa Redonda,Literatura Universal|Historia y Novela histórica
"Mann, Heinrich",El ángel azul,Literatura Universal
"Mann, Heinrich",El súbdito,Literatura Universal
"Mann, Thomas",La montaña mágica,Literatura Universal
"Mansilla, Lucio V.",Una excursión a los indios ranqueles Tomo 1,Literatura Hispanoamericana
"Maquiavelo, Nicolás",El príncipe,Literatura Universal
"Maquiavelo, Nicolás",La Mandrágora,Literatura Universal
"Mariátegui, José",Siete ensayos de interpretación de la realidad peruana,Ensayo
"Marlowe, Christopher",La trágica historia del doctor Fausto,Literatura Universal
"Marlowe, Christopher",The Tragical History of Doctor Faustus,Literatura Universal
"Marlowe, Christopher",Edward the second,Literatura Universal
"Mármol, José",Amalia,Literatura Hispanoamericana
"Martí, José",Amistad funesta,Literatura Hispanoamericana|Ensayo
"Martí, José",Nuestra América,Literatura Hispanoamericana|Historia y Novela histórica|Ensayo
"Martí, José",Amistad funesta,Palabras sinfónicas (audiolibros)
"Maupassant, Guy de",El Horla,Literatura Universal
"Maupassant, Guy de",The Horla,Literatura Universal
"May Alcott, Louisa",Mujercitas,Palabras sinfónicas (audiolibros)
"McSpadden, J. Walker",Robin Hood,Literatura Universal
"Melville, Herman",Moby Dick,Literatura Universal|Infantil y juvenil
"Melville, Herman","Bartleby, el escribiente",Literatura Universal
"Melville, Herman",Las encantadas,Literatura Universal
"Melville, Herman",Pierre o las ambigüedades,Literatura Universal
"Melville, Herman",Moby Dick,Infantil y juvenil
"Melville, Herman","Bartleby, the Scrivener: A Story of Wall-Street",Literatura Universal
"Melville, Herman",Pierre; or The Ambiguities,Literatura Universal
"Melville, Herman",Moby Dick,Palabras sinfónicas (audiolibros)
"Milne, A. A.",Winny de Puh,Infantil y juvenil
"Milne, A. A.",El rincón de Puh,Infantil y juvenil
"Milne, A. A.",El misterio de la casa roja,Literatura Universal
"Milne, A. A.",Winnie the Pooh,Infantil y juvenil
"Milton, John",El paraíso perdido,Literatura Universal
"Milton, John",Paradise Lost,Literatura Universal
"Mistral, Gabriela","Desolación, Ternura, Tala, Lagar",Literatura Hispanoamericana
"Molina, Tirso de",Celos con celos se curan,Literatura Universal|Literatura Hispanoamericana
"Montaigne, Michel de","Selección de ensayos (Montaigne, Michel de)",Literatura Universal|Ensayo
"Montaigne, Michel de",Essays of Michel de Montaigne,Ensayo
"Montaigne, Michel de",Selección de ensayos,Palabras sinfónicas (audiolibros)
"Montessori, Maria",Dr. Montessori's own Handbook,Ensayo
"Montgomery, L. M.",The golden road,Literatura Universal
